entity	annotation
http://dbpedia.org/resource/Andes%2C_New_York	Andes_town
http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000008f5123	Error
http://dbpedia.org/resource/Andes,_New_York	Andes_town
http://es.dbpedia.org/resource/Andes_(Nueva_York)	Andes_town
http://es.dbpedia.org/resource/Andes_(pueblo)	Andes_town
http://ht.dbpedia.org/resource/Andes,_New_York	Error
http://rdf.freebase.com/ns/m.08zn93	Error
http://rdf.freebase.com/ns/m/08zn93	Error
http://sh.dbpedia.org/resource/Andes,_New_York	Error
http://sr.dbpedia.org/resource/Андис_(Њујорк)	Error
http://sws.geonames.org/5107174/	Andes_location
http://uz.dbpedia.org/resource/Andes_(New_York)	Error
http://wikidata.dbpedia.org/resource/Q4754284	Andes_town
http://wikidata.org/entity/Q4754284	Andes_town
http://www.wikidata.org/entity/Q4754284	Andes_town
http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Andes,_New_York	Uncertain
http://dbpedia.org/resource/Andes,_New_York_(disambiguation)	Uncertain
http://wikidata.dbpedia.org/resource/Q4754283	Error
http://wikidata.org/entity/Q4754283	Uncertain
http://www.wikidata.org/entity/Q4754283	Uncertain
http://dbpedia.org/resource/Andes_%28hamlet%29%2C_New_York	Andes_town
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000019ab19	Error
http://www.rdfabout.com/rdf/usgov/geo/us/ny/counties/delaware_county/andes	Uncertain
http://dbpedia.org/resource/Andes_%28town%29%2C_DE_County%2C_New_York	Andes_town
http://dbpedia.org/resource/Andes_%28town%29%2C_Delaware_County%2C_New_York	Andes_town
http://dbpedia.org/resource/Andes_%28town%29%2C_New_York	Andes_town
http://dbpedia.org/resource/Andes_%28village%29%2C_DE_County%2C_New_York	Andes_town
http://dbpedia.org/resource/Andes_%28village%29%2C_Delaware_County%2C_New_York	Andes_town
http://dbpedia.org/resource/Andes_%28village%29%2C_New_York	Andes_town
http://dbpedia.org/resource/Andes_(hamlet),_New_York	Andes_town
http://es.dbpedia.org/resource/Andes_(aldea)	Andes_town
http://mpii.de/yago/resource/Andes_%28hamlet%29,_New_York	Error
http://mpii.de/yago/resource/Andes_(hamlet),_New_York	Error
http://rdf.freebase.com/ns/m.01mbst	Error
http://vo.dbpedia.org/resource/Andes	Error
http://wikidata.dbpedia.org/resource/Q3472275	Andes_town
http://wikidata.org/entity/Q3472275	Andes_town
http://www.wikidata.org/entity/Q3472275	Andes_town
http://yago-knowledge.org/resource/Andes_(hamlet),_New_York	Andes_town
http://dbpedia.org/resource/Andes_(town),_DE_County,_New_York	Andes_town
http://dbpedia.org/resource/Andes_(town),_Delaware_County,_New_York	Andes_town
http://dbpedia.org/resource/Andes_(town),_New_York	Andes_town
http://mpii.de/yago/resource/Andes_%28town%29,_New_York	Error
http://mpii.de/yago/resource/Andes_(town),_New_York	Error
http://yago-knowledge.org/resource/Andes_(town),_New_York	Uncertain
http://dbpedia.org/resource/Andes_(village),_DE_County,_New_York	Andes_town
http://dbpedia.org/resource/Andes_(village),_Delaware_County,_New_York	Andes_town
http://dbpedia.org/resource/Andes_(village),_New_York	Andes_town
http://dbpedia.org/resource/Town_of_Andes	Andes_town
http://dbpedia.org/resource/Village_of_Andes	Andes_town
