Entity	Annotation
http://ar.dbpedia.org/resource/%D9%88%D8%AD%D9%8A%D8%AF_%D8%AE%D9%84%D9%8A%D9%84%D9%87%D9%88%D8%AF%D8%B2%D9%8A%D8%AA%D8%B4	Error
http://ar.dbpedia.org/resource/وحيد_خليلهودزيتش	Error
http://bs.dbpedia.org/resource/Vahid_Halilhodžić	Error
http://dbpedia.org/resource/Vahid_Halilhod%C5%BEi%C4%87	Vahid
http://dbpedia.org/resource/Vahid_Halilhodžić	Uncertain
http://de.dbpedia.org/resource/Vahid_Halilhodžić	Error
http://es.dbpedia.org/resource/Vahid_Halilhodžić	Empty
http://fi.dbpedia.org/resource/Vahid_Halilhodžić	Error
http://fr.dbpedia.org/resource/Vahid_Halilhodžić	Empty
http://hr.dbpedia.org/resource/Vahid_Halilhodžić	Error
http://hu.dbpedia.org/resource/Vahid_Halilhodžić	Error
http://id.dbpedia.org/resource/Vahid_Halilhodžić	Empty
http://it.dbpedia.org/resource/Vahid_Halilhodžić	Error
http://ja.dbpedia.org/resource/ヴァヒド・ハリホジッチ	Error
http://ja.dbpedia.org/resource/ヴァヒド・ハリルホジッチ	Error
http://ko.dbpedia.org/resource/바히드_할릴호지치	Empty
http://nl.dbpedia.org/resource/Vahid_Halilhodžić	Empty
http://pl.dbpedia.org/resource/Vahid_Halilhodžić	Empty
http://pt.dbpedia.org/resource/Vahid_Halilhodžić	Error
http://rdf.freebase.com/ns/m.046r_t	Error
http://ru.dbpedia.org/resource/Халилходжич,_Вахид	Error
http://sq.dbpedia.org/resource/Vahid_Halilhodžić	Error
http://sr.dbpedia.org/resource/Вахид_Халилхоџић	Error
http://tr.dbpedia.org/resource/Vahid_Halilhodžić	Error
http://uk.dbpedia.org/resource/Вахід_Халілходжич	Empty
http://www.wikidata.org/entity/Q463933	Vahid
http://bs.dbpedia.org/resource/Vahid_Halilhod%C5%BEi%C4%87	Error
http://fa.dbpedia.org/resource/وحید_خلیلهوژیچ	Error
http://mpii.de/yago/resource/Vahid_Halilhod%C5%BEi%C4%87	Error
http://no.dbpedia.org/resource/Vahid_Halilhodžić	Error
http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000435ff9	Error
http://rdf.freebase.com/ns/m/046r_t	Error
http://wikidata.dbpedia.org/resource/Q463933	Error
http://wikidata.org/entity/Q463933	Vahid
http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Vahid_Halilhod%C5%BEi%C4%87	Uncertain
http://yago-knowledge.org/resource/Vahid_Halilhodžić	Empty
http://dbpedia.org/resource/Vahid_Halilhodzic	Vahid
http://mpii.de/yago/resource/Vahid_Halilhodžić	Error
http://de.dbpedia.org/resource/Vahid_Halilhod%C5%BEi%C4%87	Error
http://fi.dbpedia.org/resource/Vahid_Halilhod%C5%BEi%C4%87	Error
http://fr.dbpedia.org/resource/Vahid_Halilhod%C5%BEi%C4%87	Vahid
http://hr.dbpedia.org/resource/Vahid_Halilhod%C5%BEi%C4%87	Error
http://it.dbpedia.org/resource/Vahid_Halilhod%C5%BEi%C4%87	Error
http://ja.dbpedia.org/resource/%E3%83%B4%E3%82%A1%E3%83%92%E3%83%89%E3%83%BB%E3%83%8F%E3%83%AA%E3%83%9B%E3%82%B8%E3%83%83%E3%83%81	Uncertain
http://pl.dbpedia.org/resource/Vahid_Halilhod%C5%BEi%C4%87	Vahid
http://pt.dbpedia.org/resource/Vahid_Halilhod%C5%BEi%C4%87	Vahid
http://ru.dbpedia.org/resource/%D0%A5%D0%B0%D0%BB%D0%B8%D0%BB%D1%85%D0%BE%D0%B4%D0%B6%D0%B8%D1%87,_%D0%92%D0%B0%D1%85%D0%B8%D0%B4	Error
http://sq.dbpedia.org/resource/Vahid_Halilhod%C5%BEi%C4%87	Error
http://sr.dbpedia.org/resource/%D0%92%D0%B0%D1%85%D0%B8%D0%B4_%D0%A5%D0%B0%D0%BB%D0%B8%D0%BB%D1%85%D0%BE%D1%9F%D0%B8%D1%9B	Error
http://tr.dbpedia.org/resource/Vahid_Halilhod%C5%BEi%C4%87	Error
