Entity	Annotation
http://af.dbpedia.org/resource/Barack_Obama	Obama
http://als.dbpedia.org/resource/Barack_Obama	Obama
http://am.dbpedia.org/resource/ባራክ_ኦባማ	Obama
http://an.dbpedia.org/resource/Barack_Obama	Obama
http://ar.dbpedia.org/resource/باراك_أوباما	Obama
http://arz.dbpedia.org/resource/باراك_اوباما	Obama
http://ast.dbpedia.org/resource/Barack_Obama	Obama
http://az.dbpedia.org/resource/Barak_Obama	Obama
http://ba.dbpedia.org/resource/Барак_Обама	Obama
http://bat-smg.dbpedia.org/resource/Baraks_Obama	Obama
http://be-x-old.dbpedia.org/resource/Барак_Абама	Obama
http://be.dbpedia.org/resource/Барак_Абама	Obama
http://bg.dbpedia.org/resource/Барак_Обама	Obama
http://bn.dbpedia.org/resource/বারাক_ওবামা	Obama
http://br.dbpedia.org/resource/Barack_Obama	Obama
http://bs.dbpedia.org/resource/Barack_Obama	Obama
http://ca.dbpedia.org/resource/Barack_Hussein_Obama	Obama
http://ca.dbpedia.org/resource/Barack_Obama	Obama
http://ceb.dbpedia.org/resource/Barack_Obama	Obama
http://ckb.dbpedia.org/resource/باراک_ئۆباما	Obama
http://cs.dbpedia.org/resource/Barack_Obama	Obama
http://cv.dbpedia.org/resource/Барак_Обама	Obama
http://cy.dbpedia.org/resource/Barack_Obama	Obama
http://da.dbpedia.org/resource/Barack_Obama	Obama
http://dbpedia.org/resource/Barack_Obama	Obama
http://de.dbpedia.org/resource/Barack_Obama	Obama
http://diq.dbpedia.org/resource/Barack_Obama	Obama
http://el.dbpedia.org/resource/Μπαράκ_Ομπάμα	Obama
http://eo.dbpedia.org/resource/Barack_Obama	Obama
http://es.dbpedia.org/resource/Barack_Obama	Obama
http://et.dbpedia.org/resource/Barack_Obama	Obama
http://eu.dbpedia.org/resource/Barack_Obama	Obama
http://fa.dbpedia.org/resource/باراک_اوباما	Obama
http://fi.dbpedia.org/resource/Barack_Obama	Obama
http://fr.dbpedia.org/resource/Barack_Obama	Obama
http://fy.dbpedia.org/resource/Barack_Obama	Obama
http://ga.dbpedia.org/resource/Barack_Obama	Obama
http://gd.dbpedia.org/resource/Barack_Obama	Obama
http://gl.dbpedia.org/resource/Barack_Obama	Obama
http://he.dbpedia.org/resource/ברק_אובמה	Obama
http://hi.dbpedia.org/resource/बराक_ओबामा	Obama
http://hr.dbpedia.org/resource/Barack_Obama	Obama
http://ht.dbpedia.org/resource/Barack_Obama	Obama
http://hu.dbpedia.org/resource/Barack_Obama	Obama
http://hy.dbpedia.org/resource/Բարաք_Օբամա	Obama
http://ia.dbpedia.org/resource/Barack_Obama	Obama
http://id.dbpedia.org/resource/Barack_Obama	Obama
http://io.dbpedia.org/resource/Barack_Obama	Obama
http://is.dbpedia.org/resource/Barack_Obama	Obama
http://it.dbpedia.org/resource/Barack_Obama	Obama
